ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,evolutionary_group
GO:0031648,protein destabilization,4/62,60/18860,0.06666666666666667,20.279569892473116,8.590004551381334,4.497482214111199e-5,0.005063218134728345,0.0035805440120098577,GSN/SENP2/EP300/CDKN2A,4,Unicellular
GO:0048511,rhythmic process,7/62,302/18860,0.023178807947019868,7.050843836787012,6.087699170932056,5.8271542772007384e-5,0.00623214149946619,0.004407168787546032,MAGED1/KDM5B/EP300/NOS2/PTEN/SLIT2/KLF10,7,Unicellular
GO:0009147,pyrimidine nucleoside triphosphate metabolic process,3/62,24/18860,0.125,38.024193548387096,10.423084052118154,6.518164930525821e-5,0.006586040204965196,0.004657434499414378,NME3/NME1/NME2,3,Unicellular
GO:0010977,negative regulation of neuron projection development,5/62,132/18860,0.03787878787878788,11.522482893450634,6.967209119720885,7.314933793032919e-5,0.006586040204965196,0.004657434499414378,CRMP1/DPYSL3/CERS2/PTEN/SLIT2,5,Unicellular
GO:0009220,pyrimidine ribonucleotide biosynthetic process,3/62,25/18860,0.12,36.50322580645161,10.20127274268018,7.38966642913346e-5,0.006586040204965196,0.004657434499414378,NME3/NME1/NME2,3,Unicellular
GO:0046039,GTP metabolic process,3/62,25/18860,0.12,36.50322580645161,10.20127274268018,7.38966642913346e-5,0.006586040204965196,0.004657434499414378,NME3/NME1/NME2,3,Unicellular
GO:0072527,pyrimidine-containing compound metabolic process,4/62,74/18860,0.05405405405405406,16.442894507410635,7.644107007260172,1.0253821184440065e-4,0.008598556100194922,0.006080620612671982,RRM1/NME3/NME1/NME2,4,Unicellular
GO:0033598,mammary gland epithelial cell proliferation,3/62,28/18860,0.10714285714285714,32.59216589861751,9.607481273324877,1.0451727845024214e-4,0.008598556100194922,0.006080620612671982,GATA3/KDM5B/CDKN2A,3,Unicellular
GO:0010720,positive regulation of cell development,8/62,451/18860,0.017738359201773836,5.395894428152493,5.426499637139787,1.0958666590912269e-4,0.008681699199244943,0.006139416721692371,SOX11/BIN1/GATA3/DICER1/SYK/EP300/SLIT2/KLF10,8,Unicellular
GO:0034504,protein localization to nucleus,7/62,345/18860,0.020289855072463767,6.172043010752687,5.568127477761401,1.3371778131439173e-4,0.009862945650318304,0.006974755985092593,TXNIP/MAGED1/SYK/TYK2/EP300/JUP/CDKN2A,7,Unicellular
GO:0008064,regulation of actin polymerization or depolymerization,5/62,150/18860,0.03333333333333333,10.139784946236558,6.4542244663043356,1.3371922574064086e-4,0.009862945650318304,0.006974755985092593,BIN1/GSN/PFN1/LIMA1/SLIT2,5,Unicellular
GO:0030832,regulation of actin filament length,5/62,153/18860,0.032679738562091505,9.940965633565256,6.3771615692899255,1.4672432904117456e-4,0.010461444660635746,0.00739799511691817,BIN1/GSN/PFN1/LIMA1/SLIT2,5,Unicellular
GO:1900180,regulation of protein localization to nucleus,5/62,158/18860,0.03164556962025317,9.626378113515722,6.253344571992705,1.7052740425180715e-4,0.011499892018135538,0.008132351482522953,MAGED1/TYK2/EP300/JUP/CDKN2A,5,Unicellular
GO:0009218,pyrimidine ribonucleotide metabolic process,3/62,33/18860,0.09090909090909091,27.653958944281523,8.800908087263448,1.7204139531572566e-4,0.011499892018135538,0.008132351482522953,NME3/NME1/NME2,3,Unicellular
GO:0006221,pyrimidine nucleotide biosynthetic process,3/62,34/18860,0.08823529411764706,26.84060721062619,8.660889513156981,1.8824932104843128e-4,0.0122019787188665,0.008628844476765414,NME3/NME1/NME2,3,Unicellular
GO:0110053,regulation of actin filament organization,6/62,274/18860,0.021897810218978103,6.661172592418178,5.4211080421981,2.767306355637035e-4,0.016883667758161452,0.011939583459303665,BIN1/GSN/PFN1/LIMA1/SLIT2/RNH1,6,Unicellular
GO:1902905,positive regulation of supramolecular fiber organization,5/62,176/18860,0.028409090909090908,8.641862170087975,5.849516325452269,2.813940349463198e-4,0.016883667758161452,0.011939583459303665,BIN1/GSN/PFN1/LIMA1/DRG1,5,Unicellular
GO:0021955,central nervous system neuron axonogenesis,3/62,39/18860,0.07692307692307693,23.39950372208437,8.041715505486508,2.8415710111912685e-4,0.016883667758161452,0.011939583459303665,EPHB3/PTEN/SLIT2,3,Unicellular
GO:2000045,regulation of G1/S transition of mitotic cell cycle,5/62,178/18860,0.028089887640449437,8.544762595143167,5.808222547255035,2.964519933021272e-4,0.017138130099277032,0.01211953099218085,SENP2/RRM1/PTEN/CDKN2A/KLF4,5,Unicellular
GO:1902903,regulation of supramolecular fiber organization,7/62,395/18860,0.017721518987341773,5.390771743568804,5.0648210426994575,3.0583291336325663e-4,0.017215173728526472,0.012174013753545699,BIN1/GSN/PFN1/LIMA1/DRG1/SLIT2/RNH1,7,Unicellular
GO:1900182,positive regulation of protein localization to nucleus,4/62,100/18860,0.04,12.167741935483871,6.4305527491930885,3.278648325443007e-4,0.017982125046468185,0.012716376905969232,TYK2/EP300/JUP/CDKN2A,4,Unicellular
GO:0018193,peptidyl-amino acid modification,7/62,404/18860,0.017326732673267328,5.270680293835835,4.983314598645675,3.503471089215084e-4,0.018734811649577663,0.013248652513689674,SENP2/SYK/EP300/ZDHHC2/NOS2/PTEN/CDKN2A,7,Unicellular
GO:0071346,cellular response to type II interferon,4/62,103/18860,0.038834951456310676,11.813341684935795,6.31969620513121,3.669694993442682e-4,0.018909894018410547,0.013372465099016243,GSN/DAPK1/TYK2/NOS2,4,Unicellular
