Root,Dscore,Statistic,Pvalue,AdjPvalue
30,0.9858,8.36,3.14e-17,2.16e-14
30,0.9175,8.352,3.37e-17,2.32e-14
30,0.9631,8.35,3.41e-17,2.35e-14
30,0.9748,8.35,3.41e-17,2.35e-14
30,0.9035,8.346,3.52e-17,2.42e-14
30,0.9718,8.338,3.78e-17,2.6e-14
30,0.9035,8.329,4.09e-17,2.81e-14
30,0.9101,8.328,4.13e-17,2.84e-14
30,0.9278,8.323,4.27e-17,2.94e-14
30,0.9035,8.308,4.88e-17,3.36e-14
30,0.8914,8.306,4.96e-17,3.41e-14
30,0.9718,8.291,5.6e-17,3.85e-14
30,0.894,8.289,5.7e-17,3.92e-14
30,0.8876,8.28,6.15e-17,4.23e-14
30,0.889,8.276,6.35e-17,4.37e-14
30,0.9035,8.275,6.42e-17,4.42e-14
30,0.9035,8.265,7.01e-17,4.82e-14
30,0.894,8.252,7.8e-17,5.36e-14
30,0.9839,8.25,7.94e-17,5.46e-14
30,0.9035,8.244,8.35e-17,5.75e-14
30,0.9035,8.225,9.75e-17,6.71e-14
30,0.9175,8.217,1.05e-16,7.21e-14
30,0.9503,8.201,1.19e-16,8.17e-14
30,0.899,8.195,1.26e-16,8.64e-14
30,0.9035,8.191,1.3e-16,8.92e-14
30,0.9035,8.19,1.31e-16,9e-14
30,0.9883,8.188,1.33e-16,9.15e-14
30,0.9588,8.18,1.42e-16,9.75e-14
30,0.9718,8.171,1.53e-16,1.06e-13
30,0.9035,8.169,1.56e-16,1.07e-13
30,0.8633,8.168,1.57e-16,1.08e-13
30,0.9044,8.165,1.61e-16,1.11e-13
30,0.9035,8.158,1.7e-16,1.17e-13
30,0.9745,8.15,1.82e-16,1.25e-13
30,0.8756,8.141,1.96e-16,1.35e-13
30,0.889,8.138,2.01e-16,1.38e-13
30,0.9785,8.127,2.21e-16,1.52e-13
30,0.9001,8.11,2.52e-16,1.74e-13
30,0.861,8.107,2.6e-16,1.79e-13
30,0.9044,8.096,2.84e-16,1.95e-13
30,0.9748,8.071,3.48e-16,2.4e-13
30,0.9369,8.07,3.51e-16,2.41e-13
30,0.8794,8.066,3.62e-16,2.49e-13
30,0.8423,8.053,4.05e-16,2.79e-13
30,0.8876,8.047,4.26e-16,2.93e-13
30,0.8277,8.046,4.26e-16,2.93e-13
30,0.8876,8.037,4.59e-16,3.16e-13
30,0.8914,8.03,4.88e-16,3.36e-13
30,0.861,7.999,6.25e-16,4.3e-13
30,0.8584,7.997,6.35e-16,4.37e-13
30,0.861,7.991,6.69e-16,4.6e-13
30,0.8914,7.982,7.2e-16,4.95e-13
30,0.8914,7.981,7.28e-16,5.01e-13
30,0.9035,7.964,8.3e-16,5.71e-13
30,0.894,7.958,8.76e-16,6.02e-13
30,0.894,7.955,8.95e-16,6.16e-13
30,0.8914,7.945,9.72e-16,6.69e-13
30,0.831,7.93,1.09e-15,7.53e-13
30,0.9198,7.927,1.12e-15,7.71e-13
30,0.861,7.924,1.15e-15,7.9e-13
30,0.9631,7.921,1.18e-15,8.09e-13
30,0.8605,7.905,1.34e-15,9.24e-13
30,0.8961,7.898,1.41e-15,9.73e-13
30,0.894,7.877,1.68e-15,1.16e-12
30,0.861,7.863,1.87e-15,1.29e-12
30,0.8584,7.856,1.98e-15,1.36e-12
30,0.8876,7.85,2.09e-15,1.44e-12
30,0.8914,7.832,2.4e-15,1.65e-12
30,0.894,7.821,2.61e-15,1.8e-12
30,0.7935,7.821,2.62e-15,1.8e-12
30,0.861,7.817,2.7e-15,1.86e-12
30,0.861,7.816,2.72e-15,1.87e-12
30,0.8914,7.814,2.77e-15,1.91e-12
30,0.831,7.805,2.97e-15,2.05e-12
30,0.8447,7.766,4.06e-15,2.79e-12
30,0.7976,7.763,4.16e-15,2.86e-12
30,0.7935,7.697,6.99e-15,4.81e-12
30,0.8423,7.645,1.04e-14,7.17e-12
30,0.7924,7.639,1.09e-14,7.53e-12
30,0.8474,7.464,4.21e-14,2.9e-11
30,0.8229,7.432,5.36e-14,3.69e-11
30,0.7251,7.375,8.19e-14,5.63e-11
30,0.7574,7.372,8.43e-14,5.8e-11
30,0.7205,7.342,1.05e-13,7.22e-11
30,0.7924,7.316,1.28e-13,8.81e-11
30,0.68,7.004,1.24e-12,8.55e-10
31,0.986,8.823,5.58e-19,3.84e-16
31,0.9749,8.758,9.94e-19,6.84e-16
31,0.9494,8.749,1.08e-18,7.4e-16
31,0.9779,8.675,2.07e-18,1.42e-15
31,0.9494,8.613,3.57e-18,2.46e-15
31,0.9494,8.484,1.09e-17,7.47e-15
31,0.9494,8.321,4.35e-17,2.99e-14
31,0.8967,8.087,3.06e-16,2.1e-13
